EntryNum,LogCPY,Alpha,LogJIF,NumSent,Texts
1,1.615080501,0.89,0.382017043,8,Sleep induction (time it takes you to fall asleep after turning-off the lights); Awakenings during the night; Final awakening earlier than desired; Total sleep duration; Overall quality of sleep (no matter how long you slept); Sense of well-being during the day; Functioning (physical and mental) during the day; Sleepiness during the day
2,1.717670503,0.85,0.880241776,5,It is exciting to figure out new ways to solve unmet market needs that can be commercialized.; Searching for new ideas for products/services to offer is enjoyable to me.; I am motivated to figure out how to make existing products/services better.; Scanning the environment for new opportunities really excites me.; Inventing new solutions to problems is an important part of who I am.
3,1.717670503,0.72,0.880241776,4,Establishing a new company excites me.; Owning my own company energizes me.; Nurturing a new business through its emerging success is enjoyable.; Being the founder of a business is an important part of who I am.
4,1.717670503,0.77,0.880241776,4,I really like finding the right people to market my product/service to.; Assembling the right people to work for my business is exciting.; Pushing my employees and myself to make our company better motivates me.; Nurturing and growing companies is an important part of who I am.
5,1.916356453,0.93,0.771587481,6,"If I should find myself in a jam, I could think of many ways to get out of it; At the present time, I am energetically pursuing my goals; There are lots of ways around any problem that I am facing now; Right now I see myself as being pretty successful.; I can think of many ways to reach my current goals; At this time, I am meeting the goals that I have set for myself"
6,2.126234389,0.86,0.18610838,17,"When I make plans, I am certain I can make them work.; One of my problems is that I cannot get down to work when I should. ; If I cant do a job the first time. I keep trying until I can.; When I set important goals for myself, I rarely achieve them.; I give up on things before completing them. ; I avoid facing difficulties. ; If something looks too complicated, I will not even bother to try it. ; When I have something unpleasant to do, I stick to it until I finish it. ; When I decide to do something, I go right to work on it. ; When trying to learn something new, I soon give up if I am not initially successful. ; When unexpected problems occur, I don't handle them well. ; I avoid trying to learn new things when they look too difficult for me. ; Failure just makes me try harder. ; I feel insecure about my ability to do things. ; I am a self-reliant person.; I give up easily. ; I do not seem capable of dealing with most problems that come up in life."
7,2.126234389,0.71,0.18610838,6,"It is difficult for me to make new friends. ; If I see someone I would like to meet, I go to that person instead of waiting for him or her to come to me.; If I meet someone interesting who is hard to make friends with. I'll soon stop trying to make friends with that person.; When I'm trying to become friends with someone who seems uninterested at first, I don't give up easily.; I do nor handle myself well in social gatherings. ; I have acquired my friends through my personal abilities at making friends."
8,2.313565941,0.87,0.451018452,4,I keep thinking about how badly I want the pain to stop.; I anxiously want the pain to go away.; I can't seem to keep it out of my mind.; I keep thinking about how much it hurts.
9,2.313565941,0.6,0.451018452,3,I wonder whether something serious may happen.; I become afraid that the pain may get worse.; I think of other painful experiences.
10,2.313565941,0.79,0.451018452,6,I feel I can't go on.; It's terrible and I think it's never going to get any better.; I worry all the time about whether the pain will end.; It's awful and I feel that it overwhelms me.; I feel I can't stand it any more.; There is nothing I can do to reduce the intensity of the pain.
11,2.313565941,0.87,0.451018452,13,I keep thinking about how badly I want the pain to stop. ; I anxiously want the pain to go away. ; I can't seem to keep it out of my mind. ; I keep thinking about how much it hurts. ; I wonder whether something serious may happen.; I become afraid that the pain may get worse. ; I think of other painful experiences.; I feel I can't go on. It's terrible and I think it's never going to get any better. ; I worry all the time about whether the pain will end. ; It's awful and I feel that it overwhelms me. ; I feel I can't stand it any more. ; There is nothing I can do to reduce the intensity of the pain.
12,1.903089987,0.92,0.771587481,20,I feel confident about my abilities. ; I am worried about whether I am regarded as a success or failure. ; I feel satisfied with the way my body looks right now. ; I feel frustrated or rattled about my performance ; I feel that I am having trouble understanding things that I read.; I feel that others respect and admire me.; I am dissatisfied with my weight. ;. I feel self-conscious. ;I feel as smart as others. ; I feel displeased with myself.; I feel good about myself. ; I am pleased with my appearance right now. ; I am worried about what other people think of me.; I feel confident that I understand things. ; I feel inferior to others at this moment. ;. I feel unattractive. ; I feel concerned about the impression I am making.; I feel that I have less scholastic ability right now than others. ; I feel like I'm not doing well. ; I am worried about looking foolish.
13,1.722697189,0.77,0.36361198,6,"I think I am doing pretty well; I can think of many ways to get the things in life that are most important to me; I am doing just as well as other kids my age; When I have a problem, I can come up with lots of ways to solve it; I think the things I have done in the past will help me in the future; Even when others want to quit I know that I can find ways to solve the problem"
14,1.183744223,0.6,0.575072326,10,"Do you ever forget to take your medication? ; Are you careless at times about taking medication?; When you feel better do you sometimes stop taking your medication?; Sometimes if you feel worse when you take the medicine do you stop taking it? ; I take my medication only when I am sick; It is unnatural for my mind and body to be controlled by medication ; My thoughts are clearer on medication; By staying on medication, I can prevent getting sick; I feel weird, like a zombie on medication; Medication makes me feel tired and sluggish"
15,-0.176091259,0.84,0.699230503,3,I would like to create new computer programs.; I am good at building computer programs.; I believe I can be successful in a career in programming.
16,-0.176091259,0.858,0.699230503,7,"If I learn programming, then I can improve things that people use every day.; I am good at fixing computer programs.; I am interested in what makes computers work.; Designing computer programs will be important for my future work.; I am curious about how computer programs work.; I would like to use creativity and innovation in my future work.; When I combine math and science, I can invent more useful computer programs."
17,1.032325665,0.92,-0.045757491,13,"I feel psychological pain.; I seem to ache inside.; My psychological pain seems worse than any physical pain.; My pain makes me want to scream.; My pain makes my life seem dark.; I can't understand why I suffer.; Psychologically, I feel terrible.; I hurt because I feel empty.; My soul aches.; I can't take my pain any more.; Because of my pain, my situation is impossible.; My pain is making me fall apart.; My psychological pain affects everything I do.;"
18,0.711651036,0.87,0.382017043,19,My sleep is restless and disturbed;I wake up in the early hours of the morning and cannot get back to sleep;My problems are not yet over;I am concerned about the uncertainty of my health;Things which I regret about my life are bothering me;I may not recover properly;I am not the person I used to be;The possibility of sudden death worries me;I lose my temper more easily nowadays;l seem to get more easily irritated by others than before;I feel frustrated;I become tearful more easily than before;I am concerned about my capacity for sexual activity;There is only misery in the future for me;Dying is the best solution for me;I feel like I am living on borrowed time;I have dropped many of my interests and activities;I can't be bothered doing anything much;I get hardly anything done now
19,0.711651036,0.77,0.382017043,2,My sleep is restless and disturbed; I wake up in the early hours of the morning and cannot get back to sleep
20,0.711651036,0.76,0.382017043,6,My problems are not yet over; I am concerned about the uncertainty of my health; Things which I regret about my life are bothering me;I may not recover properly; I am not the person I used to be; The possibility of sudden death worries me 
21,0.711651036,0.79,0.382017043,5,I lose my temper more easily nowadays; l seem to get more easily irritated by others than before; I feel frustrated;I become tearful more easily than before; I am concerned about my capacity for sexual activity
22,0.711651036,0.67,0.382017043,3,There is only misery in the future for me; Dying is the best solution for me; I feel like I am living on borrowed time
23,0.711651036,0.7,0.382017043,3,I have dropped many of my interests and activities; I can't be bothered doing anything much; I get hardly anything done now
24,0.711651036,0.85,0.382017043,7,I get pleasure from life at present; I feel in good spirits; I gain just as much pleasure from my leisure activities as I used to; My memory is as good as it always was; My mind is as fast and alert as always; My concentration is as good as it ever was; I feel independent and in control of my life
25,0.711651036,0.83,0.382017043,3,I get pleasure from life at present; I feel in good spirits; I gain just as much pleasure from my leisure activities as I used to
26,0.711651036,0.77,0.382017043,4,My memory is as good as it always was; My mind is as fast and alert as always; My concentration is as good as it ever was; I feel independent and in control of my life
27,1.038344992,0.94,0.416141031,10,Help you recognize that a decision needs to be made?; Prepare you to make a better decision?; Help you think about the pros and cons of each option?; Help you think about which pros and cons are most important?; Help you know that the decision depends on what matters most to you?; Help you organize your own thoughts about the decision?; Help you think about how involved you want to be in this decision?; Help you identify questions you want to ask your doctor?; Prepare you to talk to your doctor about what matters most to you?; Prepare you for a follow-up visit with your doctor?;
29,1.558351063,0.72,0.665768551,11,"If I take care of myself, I can avoid illness; Whenever I get sick it is because of something I've done or not done.; Good health is largely a matter of good fortune.; No matter what I do, if I am going to get sick I will get sick.; Most people do not realize the extent to which their illnesses are controlled by accidental happenings.; I can only do what my doctor tells me to do.; There are so many strange diseases around that you can never know how or when you might pick one up.; When I feel ill, I know it is because I have not been getting the proper exercise or eating right.; People who never get sick are just plain lucky.; People's ill health results from their own carelessness.; I am directly responsible for my health."
30,0.034762106,0.85,0.597256283,11,"I have been treated with kindness and respect by the staff at the hospital; The staff attended to my personal needs while I was in hospital and tried to support me as much as possible; I was able to talk to the staff about any problems I might have had; I received all the information I wanted to about the causes and nature of the illness of the patient I take care of; The doctors did everything they could to make the patient I take care of well again; I am happy with the level of recovery the patient I take care of has made; I am satisfied with the type of treatment the therapists have given the patient I take care of (e.g., physiotherapy, speech therapy, occupational therapy); The patient I take care of has had sufficient therapy (e.g., physiotherapy, speech therapy, occupational therapy); The patient I take care of has been treated with kindness and respect by hospital staff; The hospitalization process went smoothly; I received all the information I wanted to about recovery and rehabilitation after a stroke"
31,0.266267889,0.955,0.787602146,14,"I am afraid to go out; I avoid visiting friends; I avoid staying overnight away from home; It is difficult for me to get out and do things like going to a movie or theater; I cut down on how much I eat before I go out; Whenever I am away from home, I try to stay near a restroom as much as possible; It is important to plan my schedule (daily activities) around my bowel pattern; I can not do many of things I want to do; I avoid traveling by plane or train; I worry about not being able to get to the toilet in time; I avoid going out to eat; I cannot get to sleep, or wake up during the night; The possibility of bowel accidents is always on my mind; Whenever I go someplace new, I specifically locate where the bathrooms are"
32,-0.602059991,0.94,-1.301029996,5,I am confident in brands ability to perform well.; I trust brand; I rely on brand.; Brand is safe.; Brand delivers what it promises.;
33,-0.079181246,0.86,0.370698093,21,"During the last week I was upset; During the last week I burst into tears several times; During the last week I was feeling scared and frightened; During the last week I felt suffocated; During the last week my sleep was interrupted because I was thinking of so many things; During the last week I was tense and nervous; During the last week I felt lonely; During the last week I was sad; During the last week I was worried; During the last week I was having difficulty concentrating on what I was doing; During the last week I felt dizzy/light headed; During the last week I didn't feel like talking; During the last week I was bored and I hated my life; During the last week I didn't have any hope for the future; During the last week I was fighting for no particular reason; During the last week I was bored and I had nothing to do; During the last week I was having thoughts of death; During the last week I was feeling emotionally drained; During the last week my heart was beating fast even without doing any type of sports; During the last week I was feeling fidgety and moving a lot. I couldn't sit still for a long time without any particular reason; During the last week, I was having a lot of headaches, stomach-aches, and nausea"
34,-0.124938737,0.67,0.220631019,8,"A girl who has an induced abortion is committing a sin; Once a girl has one abortion, she will make it a habit.; A girl who has an abortion cannot be trusted.; A girl who has an abortion brings shame to her family.; The health of a girl who has an abortion is never as good as it was before the abortion.; A girl who has had an abortion might be a bad influence on other women.; A girl who has an abortion will be a bad mother.; A girl who has an abortion brings shame to her community"
35,-0.124938737,0.85,0.220631019,8,"A woman who has an induced abortion is committing a sin; Once a woman has one abortion, she will make it a habit.; A woman who has an abortion cannot be trusted.; A woman who has an abortion brings shame to her family.; The health of a woman who has an abortion is never as good as it was before the abortion.; A woman who has had an abortion might be a bad influence on other women.; A woman who has an abortion will be a bad mother.; A woman who has an abortion brings shame to her community"
36,-0.124938737,0.7,0.220631019,8,A girl who has had an abortion should be prohibited from going to religious services.; A girl who has had an abortion should be teased so that she will be ashamed about her decision.; A girl should be disgraced in my community if she has had an abortion.; A man should not marry a woman who has had an abortion.; A girl who has had an abortion should no longer be associated with me.; A girl who had an abortion should be pointed fingers at so that other people would know what she has done.; A girl who has an abortion should not be treated the same as everyone else.
37,-0.124938737,0.8,0.220631019,8,A woman who has had an abortion should be prohibited from going to religious services.; I would tease a woman who has had an abortion so that she will be ashamed about her decision.; I would try to disgrace a woman in my community if I found out she had an abortion.; A man should not marry a woman who has had an abortion because she may not be able to bear children.; I would stop being friends with someone if I found out that she had an abortion.; I would point my fingers at a woman who had an abortion so that other people would know what she has done.; A woman who has an abortion should not be treated the same as everyone else.
38,-0.124938737,0.8,0.220631019,3,"A woman who has an abortion can make other people fall ill or get sick.; A woman who has an abortion should be isolated from other people in the community for at least 1 month after having an abortion.;  If a man has sex with a woman who has had an abortion, he will become infected with a disease."
39,-0.698970004,0.8,0.46686762,6,"In my opinion/experience, co-workers are not very comfortable working with cancer survivors; In my opinion/experience, cancer survivors have trouble getting their work done on time and often needs others to help them finish the job; In my opinion/experience, cancer survivors have trouble getting along with others on the job; In my opinion/experience, cancer survivors often require extra time to learn new work tasks; In my opinion/experience, cancer survivors often require some sort of job accommodation (e.g., specialized equipment, facility modifications, adjustments to work schedules or job duties) to do their job; In my opinion/experience, cancer survivors tend to call in sick more often than other workers due to health or personal problem"
40,0.104735351,0.76,0.311753861,4,"I rely on supportive and stable relationships with my friends and family; I am willing to make use of whatever help is offered, whether support in the home, treatment for symptoms, hospice care or counseling; I use whatever equipment is appropriate and available to me; I try to spend as much time as possible with my friends and family"
41,0.104735351,0.75,0.311753861,3,"I make up my mind to fight it; I plan for the future e.g., holidays; I still try to find something to laugh about"
42,0.104735351,0.66,0.311753861,4,I try to be as independent as possible; I try to lead as normal a life as possible; I decide where I want to go and when I want to go there; I take each day as it comes
43,0.104735351,0.6,0.311753861,3,I try not to think about the possible consequences of my illness; I avoid information about my condition; I feel I need to let off steam from time to time
44,0.104735351,0.53,0.311753861,2,"I ask the doctors for information regarding the progress of my condition; I try to find out more about Motor Neurone Disease, possible causes, treatments and research"
45,0.104735351,0.46,0.311753861,2,I prefer to focus on the positive outcomes of my illness; I keep hoping there will be a cure or some other good news for me
46,0.626060268,0.81,0.625209525,4,The hotel was bright and well lit; The hotel was clean and tidy; The decor was beautifully co-ordinated with great attention to detail; The hotel was dirty and unhygienic
47,0.626060268,0.88,0.625209525,5,Staff recognised you; Staff seemed to anticipate what I wanted; Staff were really good they displayed effortless expertise; Staff were helpful and friendly; Staff listened to me
48,0.626060268,0.75,0.625209525,3,I think the hotel was not suitable for spending a holiday; I didnt like the hotel at all; The hotel was extremely good value for money
49,0.626060268,0.85,0.625209525,3,The waiting time for the service was minimum; My orders arrived immediately; Everything arrived with an impressive speed
50,0.794297886,0.67,0.36361198,7,Someone willing to listen; Contact with people in a similar situation; Able to talk about thoughts and feelings; Sympathy and support from others; Practical help; Feeling let down; overall satisfaction with support received
51,1.886772643,0.75,0.420945406,3,Display specific emotions required by your job; Adopt certain emotions required as part of your job; Express particular emotions as part of your job
52,1.886772643,0.58,0.420945406,2,Express intense emotions; Show some strong emotions;
53,1.886772643,0.68,0.420945406,3,Display many different kinds of emotions; Express many different emotions; Display many different emotions when interacting with others
54,1.886772643,0.85,0.420945406,3,Resist expressing my true feelings; Pretend to have emotions that I don't really have;  Hide my true feelings about a situation
55,1.886772643,0.82,0.420945406,3,Make an effort to actually feel the emotions that I need to display to others; Try to actually experience the emotions that I must show; Really try to feel the emotions I have to show as part of my job
56,2.430236353,0.78,0.25163822,5,"I try to be understanding and patient towards those aspects of my personality I don't like.; I'm kind to myself when I'm experiencing suffering.; When I'm going through a very hard time, I give myself the caring and tenderness I need.; I'm tolerant of my own flaws and inadequacies.; I try to be loving towards myself when I'm feeling emotional pain."
57,2.391728822,0.77,0.25163822,5,"When I see aspects of myself that I don't like, I get down on myself.; When times are really difficult, I tend to be tough on myself.; I can be a bit cold-hearted towards myself when I'm experiencing suffering.; I'm disapproving and judgmental about my own flaws and inadequacies.; I'm intolerant and impatient towards those aspects of my personality I don't like."
58,2.391728822,0.8,0.25163822,4,"When I feel inadequate in some way, I try to remind myself that feelings of inadequacy are shared by most people.; I try to see my failings as part of the human condition; When I'm down and out, I remind myself that there are lots of other people in the world feeling like I am.; When things are going badly for me, I see the difficulties as part of life that everyone goes through."
59,2.391728822,0.79,0.25163822,4,When I fail at something that's important to me I tend to feel alone in my failure.;  When I think about my inadequacies it tends to make me feel more separate and cut off from the rest of the world.; When I'm feeling down I tend to feel like most other people are probably happier than I am.; When I'm really struggling I tend to feel like other people must be having an easier time of it.; 
60,2.391728822,0.75,0.25163822,4,When something upsets me I try to keep my emotions in balance.; When I'm feeling down I try to approach my feelings with curiosity and openness.; When something painful happens I try to take a balanced view of the situation.; When I fail at something important to me I try to keep things in perspective.
