Idnumber,Brand,Species,Rating,EffectList,FlavorList
1,100-Og,H,4,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus"
2,98-White-Widow,H,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel"
3,1024,S,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody"
4,13-Dawgs,H,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit"
5,24K-Gold,H,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange"
7,3-Kings,H,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent"
8,303-Og,I,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy"
9,3D-Cbd,S,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery"
10,3X-Crazy,I,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet"
11,3Rd-Coast-Panama-Chunk,H,4.7,"Energetic,Happy,Talkative,Uplifted","Pine,Diesel"
12,501St-Og,H,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk"
13,5Th-Element,I,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Earthy,Woody,Pine"
14,707-Headband,H,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative","Earthy,Woody,Pungent"
15,8-Ball-Kush,I,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Earthy,Pine"
16,818-Og,I,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Earthy,Diesel,Flowery"
18,9-Pound-Hammer,I,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Berry"
19,91-Krypt,I,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Earthy,Pungent,Berry"
20,A-10,I,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted","Citrus,Pungent,Sweet"
21,A-Dub,H,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy"
22,A-Train,H,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry","Earthy,Woody,Citrus"
23,Acdc,H,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody"
24,Ak-47,H,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody"
25,Ak-48,H,4,"Happy,Energetic,Uplifted,Creative,Relaxed","Earthy,Pungent,Citrus"
26,Aberdeen,H,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blue,Cheese,Chemical"
27,Abusive-Og,I,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Earthy,Pine,Diesel"
28,Acapulco-Gold,S,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Earthy,Sweet,Pungent"
29,Ace-Killer-Og,I,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Diesel,Spicy/Herbal"
30,Ace-Of-Spades,I,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Woody"
31,Aceh,S,4.4,"Creative,Euphoric,Talkative,Energetic,Happy","Earthy,Mango,Lemon"
32,Acid,H,4.4,"Creative,Happy,Euphoric,Energetic,Uplifted","Lemon,Diesel,Earthy"
34,Afcrack,H,3.4,"Tingly,Euphoric,Happy,Relaxed,Uplifted","Sweet,Flowery,Earthy"
35,Afghan-Big-Bud,I,4,"Euphoric,Happy,Relaxed,Sleepy,Talkative","Pungent,Lemon,Peach"
36,Afghan-Cow,S,4.3,"Focused,Uplifted,Happy,Euphoric,Talkative","Sweet,Vanilla"
37,Afghan-Diesel,H,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Diesel,Chemical"
