Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat,freeText
"Akron, OH","Atlanta, GA",Blue,44,Female,1,2005,7,-0.16666666666666666,Business travel,1,0,30,Eco Plus,1,2/1/14,FL,FlyHere Airways,Georgia,Ohio,9,0,0,No,69,528,9,-84.331858,33.824102,-81.491897,41.066225,"First Class: My son had enough points to fly the 4 of us in business class on the 777. Service was friendly, & exemplary. Wish I could afford to fly business class all the time, a most enjoyable journey with no complaints from any of..."
"Albuquerque, NM","San Diego, CA",Blue,15,Female,2,2008,23,-0.4375,Personal Travel,1,60,90,Eco,13,2/13/14,WN,Cheapseats Airlines Inc.,California,New Mexico,16,371,372,No,88,628,5,-117.128799,32.928728,-106.628138,35.143367,"Worst airline company: The worst airline experience ever. The worst airline company ever as well. If we could give this Airline a -10 we so would!! We understand planes can break...but when you rebook an entire day later and screw up a well planned vacation because they have a crappy airline, it is unacceptable. When they tell us our luggage will be late."
"Amarillo, TX","Dallas, TX",Blue,18,Female,2,2012,22,-0.29411764705882354,Personal Travel,3,0,75,Eco,4,2/4/14,WN,Cheapseats Airlines Inc.,Texas,Texas,17,98,93,No,59,323,4,-96.972001,32.812727,-101.849137,35.197528,Changed to arrive earlier and landed hours later.: Plans changed so paid the change fee to get an earlier flight. Entertainment is available with an Apple App but Southeast is not aware that Apple is not the only device people carry. Jammed into row...
"Anchorage, AK","Fairbanks, AK",Blue,27,Female,1,2008,23,-0.4375,Business travel,0,0,30,Eco,24,1/24/14,AS,FlyToSun Airlines Inc.,Alaska,Alaska,18,0,0,No,45,261,9,-147.705736,64.801958,-149.847166,61.167916,"A short direct flight: Southeast provided a direct flight which save me a lot of time. Also I was fortunate to have a seat selected for me, and on both legs, and the seat was in the emergency exit row. This row is equipped with extra leg room due to the exit requirement, which was a feature I really enjoyed. Thanks Southeast..."
"Asheville, NC","Atlanta, GA",Blue,67,Female,2,2011,30,-0.875,Personal Travel,0,0,30,Eco,13,2/13/14,EV,FlyFast Airways Inc.,Georgia,North Carolina,10,NA,NA,Yes,NA,164,5,-84.331858,33.824102,-82.664164,35.537101,"Disappointing: Check in was quick and easy when adequate staffing finally showed up. Leg room wasn't an issue - no one was sitting beside me so I could stretch out between both seats. The stewards... maybe my standard of Customer service is too high. One was bubbly, the other... smile - I'll pay for the stitches."
"Aspen, CO","Denver, CO",Blue,59,Female,2,2009,37,-0.6444444444444445,Personal Travel,0,0,10,Business,5,1/5/14,OO,Northwest Business Airlines Inc.,Colorado,Colorado,13,NA,NA,Yes,NA,125,6,-104.955096,39.710774,-106.840283,39.199278,"Flight: Flight was delayed for 25 mins with no official explanation provided or apology offered to passengers. Flight takeoff was also delayed, ended up taking off close much later than departure time.In flight airline crew were very pleasant & took good care of the passengers.The airline should have provided an explanation to passengers for the..."
"Aspen, CO","Houston, TX",Blue,59,Male,1,2012,38,-0.9,Personal Travel,0,80,60,Eco,27,2/27/14,OO,Northwest Business Airlines Inc.,Texas,Colorado,11,0,0,No,135,913,3,-95.393531,29.784308,-106.840283,39.199278,"Don't bother with bereavement fare or Southeast for that matter.: I seriously need to switch airline loyalty programs. I feel like I spend a lot with Southeast  and get very little in the way of return. Don't bother trying to get a bereavement fare with these guys.. I received a whole $40 (and 76 cents - Wow!) returned to me after spending north of $4,000 in flights..."
"Aspen, CO","Denver, CO",Blue,60,Female,1,2012,25,-0.6666666666666666,Personal Travel,0,35,81,Eco,7,3/7/14,OO,Northwest Business Airlines Inc.,Colorado,Colorado,14,NA,NA,Yes,NA,125,5,-104.955096,39.710774,-106.840283,39.199278,Delayed by 16 hrs with no food or compensation: I checked in  and went thru security within the next 30 mins and was waiting at the Boarding Gate. Later I learnt that my flight was cancelled due to bad weather and I would have to rebook in another flight....
"Atlanta, GA","Seattle, WA",Blue,24,Male,1,2007,0,1,Personal Travel,2,0,20,Eco Plus,12,3/12/14,DL,Sigma Airlines Inc.,Washington,Georgia,22,11,5,No,242,2182,8,-122.274661,47.468409,-84.331858,33.824102,Appears to be a Budget Airline with cheaper flights than others: Overall there were no problems with the Airline however it did feel more cramped than usual. The legroom and seat were quite satisfactory for me but I am a smaller than an average person. The seating was a 3:4:3 configuration whereas most airlines use a 3:3:3 configuration on Boeing 777 planes. This made the aisles especially narrow so that if...
"Atlanta, GA","Seattle, WA",Blue,51,Female,1,2009,16,-0.23076923076923078,Personal Travel,0,110,20,Eco,3,2/3/14,DL,Sigma Airlines Inc.,Washington,Georgia,13,15,0,No,242,2182,2,-122.274661,47.468409,-84.331858,33.824102,Not Worth The Extra: Wife paid significant costs of upgrade in the hope we could sleep on the flight. the food was hardly better than economy (which was inedible) and the wine selection was to say the least average.The film selection was terrible with very few new films in...
"Atlanta, GA","Jacksonville, FL",Blue,28,Female,2,2010,2,0.7777777777777778,Business travel,2,0,25,Eco,6,1/6/14,DL,Sigma Airlines Inc.,Florida,Georgia,17,0,0,No,44,270,9,-81.64274,30.24014,-84.331858,33.824102,Decent flight at a decent price: Southeast provides decent flights with on-board Coca Cola products (and tasty snacks) even on short flights. Its pretty much your average service.
"Atlanta, GA","Springfield, MO",Blue,34,Male,2,2005,30,-0.875,Mileage tickets,1,0,20,Eco,6,1/6/14,EV,FlyFast Airways Inc.,Missouri,Georgia,12,108,98,No,73,563,5,-93.287053,37.148873,-84.331858,33.824102,Hour wait for luggage.: Our round trip  included four flights. Three of them were late.On three flights we paid for upgrades to Business Class. Nice feature.I had gone to the  airport prior to the trip to make sure we would have no issues with taking our camera bags as carryons. They assured me it was the right size. At...
"Atlanta, GA","Washington, DC",Blue,56,Male,1,2010,17,-0.36,Personal Travel,0,0,30,Eco,11,2/11/14,EV,FlyFast Airways Inc.,Virginia,Georgia,21,NA,NA,Yes,NA,534,2,-77.18974,38.897394,-84.331858,33.824102,"Multiple Schedule Changes, Cancelled Flight: Southeast changed our flight times 4 times before initial flight. Cancelled and rescheduled last leg of flight on return due to "" weather conditions in Milwaukee"". No compensation or hotel provided. Later found out that some passengers on the same flight, same class got hotel room provided. Also found out weather in Milwaukee was not the problem, but that..."
"Atlanta, GA","Roanoke, VA",Gold,47,Male,1,2012,25,-0.8518518518518519,Business travel,0,30,30,Eco,13,2/13/14,EV,FlyFast Airways Inc.,Virginia,Georgia,16,NA,NA,Yes,NA,357,8,-79.976293,37.290783,-84.331858,33.824102,Stop over: flight with Southeast  a bit turbulence.  the only service we got is soft drinks not even snack. This is multi million business! And you can even serve better food. What a cheap company...
